epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3263.88,0.2616,0.09246,0.00096,0.99912,0.9991,0.995,0.99105,0.15193,0.05407,0.00029,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,3360.92,0.26473,0.09352,0.00096,0.99906,0.99926,0.995,0.99117,0.15141,0.05386,0.00029,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,3457.53,0.26063,0.09219,0.00096,0.9993,0.99915,0.995,0.99115,0.15144,0.05349,0.00029,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,3554.12,0.26416,0.09324,0.00098,0.99903,0.99938,0.995,0.99113,0.15102,0.05342,0.00029,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,3650.09,0.26273,0.0925,0.00096,0.99892,0.99951,0.995,0.99126,0.15021,0.05313,0.00028,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,3746.71,0.26437,0.09258,0.00096,0.99918,0.99939,0.995,0.99133,0.14961,0.05306,0.00028,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,3842.53,0.26195,0.09236,0.00096,0.99908,0.99939,0.995,0.99131,0.14947,0.05299,0.00028,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,3938.61,0.26104,0.09209,0.00096,0.9992,0.99936,0.995,0.99135,0.14926,0.05298,0.00028,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,4034.84,0.26189,0.0918,0.00097,0.99917,0.99933,0.995,0.99145,0.14919,0.05301,0.00028,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,4130.86,0.26348,0.09269,0.00096,0.99922,0.99924,0.995,0.99144,0.14896,0.05299,0.00028,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,4227.08,0.26155,0.09135,0.00096,0.99926,0.99934,0.995,0.9914,0.14952,0.05307,0.00028,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,4323.78,0.26054,0.09136,0.00095,0.99912,0.99932,0.995,0.99142,0.14965,0.05325,0.00028,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,4419.57,0.26155,0.09183,0.00096,0.9992,0.99947,0.995,0.99145,0.14947,0.05323,0.00028,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,4516.21,0.26271,0.0916,0.00097,0.99934,0.99943,0.995,0.99147,0.14903,0.05311,0.00028,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,4612.89,0.26303,0.0919,0.00097,0.99932,0.99939,0.995,0.99159,0.14855,0.05315,0.00028,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,4709.54,0.2617,0.0918,0.00097,0.9994,0.99931,0.995,0.99158,0.14861,0.05332,0.00028,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,4806.22,0.25958,0.09074,0.00095,0.99933,0.9993,0.995,0.99164,0.14824,0.05341,0.00028,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,4902.27,0.26031,0.09125,0.00097,0.99936,0.99928,0.995,0.9916,0.14864,0.05355,0.00028,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,4998.44,0.26136,0.09178,0.00097,0.99927,0.99929,0.995,0.99164,0.1485,0.05377,0.00028,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,5096.1,0.26367,0.09294,0.00099,0.9994,0.99922,0.995,0.99163,0.14868,0.05399,0.00028,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,5194.03,0.26044,0.09102,0.00097,0.99934,0.99925,0.995,0.99168,0.14818,0.05404,0.00028,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,5292.54,0.2613,0.09159,0.00096,0.99939,0.99925,0.995,0.99173,0.14751,0.05405,0.00027,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,5391.11,0.26326,0.09173,0.00098,0.99938,0.99931,0.995,0.99172,0.14728,0.05413,0.00027,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,5487.41,0.26181,0.09154,0.00098,0.99937,0.99931,0.995,0.99171,0.14764,0.05435,0.00028,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,5619.3,0.26425,0.09177,0.00099,0.99931,0.99924,0.995,0.99171,0.14744,0.05448,0.00027,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,5722.31,0.26598,0.0925,0.00101,0.99931,0.99926,0.995,0.99168,0.14751,0.05468,0.00027,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,5829.14,0.26425,0.09151,0.00099,0.99927,0.9993,0.995,0.99167,0.14782,0.05508,0.00028,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,5959.54,0.26492,0.09176,0.001,0.99923,0.99935,0.995,0.99166,0.14782,0.05523,0.00028,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,6082.74,0.26268,0.09064,0.00098,0.9993,0.99928,0.995,0.99158,0.14845,0.0555,0.00028,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,6191.72,0.26573,0.09168,0.001,0.99918,0.99934,0.995,0.99161,0.14833,0.05565,0.00028,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,6290.08,0.26545,0.09154,0.001,0.99919,0.99942,0.995,0.99157,0.14874,0.05598,0.00028,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,6385.98,0.26304,0.09096,0.00099,0.99918,0.99944,0.995,0.99154,0.14846,0.05609,0.00028,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,6483.23,0.26655,0.09169,0.00101,0.99924,0.99944,0.995,0.99152,0.14904,0.05648,0.00028,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,6580.09,0.265,0.09125,0.00099,0.99932,0.99937,0.995,0.99151,0.14887,0.05662,0.00028,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,6676.72,0.26534,0.09095,0.00101,0.99918,0.99944,0.995,0.99152,0.14839,0.05679,0.00028,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,6775.3,0.2679,0.09205,0.00102,0.99922,0.99935,0.995,0.99153,0.1481,0.05697,0.00028,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,6874.06,0.26538,0.09153,0.001,0.99914,0.99943,0.995,0.99152,0.14829,0.05724,0.00028,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,6971.28,0.26617,0.09149,0.00101,0.99923,0.99928,0.995,0.99145,0.14859,0.05756,0.00028,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,7069.72,0.26532,0.09099,0.00102,0.99917,0.9994,0.995,0.99147,0.14878,0.05785,0.00028,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,7169.12,0.26742,0.09134,0.00102,0.99903,0.99948,0.995,0.99141,0.14921,0.05818,0.00028,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,7266.62,0.26703,0.09135,0.00103,0.99913,0.99934,0.995,0.99141,0.14921,0.05833,0.00028,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,7363.2,0.2647,0.09137,0.001,0.99902,0.99934,0.995,0.99141,0.14945,0.05863,0.00029,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,7459.98,0.26493,0.09067,0.00101,0.99899,0.99932,0.995,0.9914,0.14921,0.05884,0.00028,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,7559,0.26744,0.09142,0.00101,0.99894,0.99923,0.995,0.99131,0.14944,0.05914,0.00029,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,7655.84,0.26704,0.09169,0.00103,0.99892,0.99929,0.995,0.99132,0.14976,0.05938,0.00029,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,7752.44,0.26516,0.0904,0.00103,0.99883,0.99937,0.995,0.99137,0.14921,0.05945,0.00028,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,7849.48,0.2671,0.0916,0.00102,0.9987,0.99939,0.995,0.99141,0.14867,0.05953,0.00028,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,7948.74,0.26818,0.09157,0.00104,0.99911,0.99899,0.995,0.99141,0.14872,0.05976,0.00028,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,8047.61,0.2677,0.09144,0.00102,0.99886,0.99918,0.995,0.99134,0.14943,0.06011,0.00029,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,8144.47,0.26646,0.09076,0.00103,0.99881,0.99942,0.995,0.99134,0.14954,0.06029,0.00029,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,8242.04,0.269,0.09167,0.00103,0.99874,0.99931,0.995,0.99129,0.1503,0.06055,0.00029,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,8338.1,0.26725,0.09107,0.00103,0.99869,0.99936,0.995,0.99126,0.15038,0.06062,0.00029,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
